iter	RMSE
0	3119.83478
1	3060.338924
2	3005.108877
3	2946.248142
4	2889.652534
5	2837.468631
6	2781.352099
7	2732.513057
8	2687.53496
9	2638.387961
10	2592.65429
11	2552.138816
12	2499.986901
13	2456.453641
14	2414.579836
15	2374.423117
16	2332.624954
17	2292.082964
18	2254.416849
19	2216.563511
20	2179.740666
21	2138.019608
22	2098.705945
23	2061.4518
24	2027.183671
25	1994.960201
26	1963.690414
27	1933.860637
28	1902.669724
29	1866.895682
30	1837.45901
31	1809.622381
32	1781.679622
33	1749.303587
34	1723.604096
35	1696.664797
36	1672.511228
37	1644.645028
38	1621.822482
39	1597.219756
40	1574.210282
41	1550.825686
42	1526.970069
43	1503.229264
44	1481.719056
45	1461.43172
46	1440.286396
47	1420.737586
48	1401.510738
49	1383.321134
50	1361.659079
51	1341.821083
52	1322.524468
53	1305.096101
54	1287.589531
55	1271.092764
56	1254.875138
57	1238.04822
58	1223.224752
59	1207.485068
60	1189.89743
61	1173.938857
62	1159.042092
63	1144.395118
64	1129.803464
65	1116.540021
66	1101.653214
67	1086.844087
68	1072.736723
69	1063.098768
70	1048.663726
71	1035.717141
72	1021.996026
73	1009.776916
74	1002.271731
75	990.4118851
76	980.1065729
77	969.6594025
78	958.9274432
79	947.8216765
80	936.8772542
81	926.2004537
82	916.6724465
83	907.6741995
84	900.4404728
85	890.3149175
86	882.1949259
87	872.5726134
88	863.693306
89	854.0372108
90	845.579058
91	839.8900252
92	831.4169322
93	825.2546093
94	815.3525486
95	805.5988803
96	798.0275714
97	790.2015508
98	782.8026751
99	774.8706059
100	770.0126287
101	764.9784108
102	759.535882
103	752.2259878
104	747.071677
105	740.3342811
106	735.3572075
107	730.9403169
108	725.6881677
109	721.1573884
110	714.5533808
111	708.5087989
112	703.3449043
113	697.8478104
114	691.1342064
115	685.5314469
116	681.6621372
117	678.0662408
118	672.7748589
119	668.1057631
120	663.9778912
121	660.8565235
122	655.5132233
123	650.6058688
124	647.5272404
125	643.9229288
126	640.6662684
127	636.7270665
128	633.7010781
129	630.7056383
130	626.362544
131	623.493452
132	620.4858241
133	616.886356
134	612.3449724
135	608.4853962
136	606.0318118
137	603.6453019
138	599.9902296
139	596.9902586
140	594.3318368
141	591.9491205
142	589.3122863
143	586.5195987
144	584.0322916
145	581.7628465
146	579.4234533
147	576.2816538
148	572.9431257
149	569.1723282
150	566.6929837
151	564.5784545
152	562.0986483
153	559.3554169
154	557.1784812
155	554.6125081
156	550.9498555
157	549.0271485
158	546.9199601
159	545.1631168
160	543.0622341
161	541.4136601
162	539.594161
163	538.0943811
164	534.4804286
165	531.0270743
166	528.2831073
167	526.7501275
168	523.9297362
169	522.450517
170	520.8830285
171	519.3793137
172	519.0059753
173	517.0899429
174	515.6914308
175	512.6710475
176	511.3330893
177	508.3777917
178	507.0251883
179	504.832117
180	503.5242062
181	501.9987543
182	500.7491712
183	498.4547749
184	497.0407035
185	495.0774782
186	493.9251393
187	491.2852213
188	490.1790941
189	489.0590967
190	487.1251778
191	485.9360259
192	485.0113555
193	483.8410645
194	482.693537
195	481.7293133
196	480.6696232
197	479.7669526
198	477.4181933
199	476.573919
200	475.932408
201	475.2085448
202	472.6504876
203	470.2883895
204	468.3676558
205	467.5909326
206	466.7778223
207	466.0620242
208	465.3134972
209	463.0334493
210	461.2327061
211	459.4740435
212	457.7541118
213	457.0628041
214	456.2938096
215	455.6062537
216	453.4860412
217	451.8274826
218	450.234852
219	448.6793958
220	446.7136594
221	445.2092824
222	443.7400532
223	441.8205536
224	440.3949875
225	438.9911858
226	438.3655683
227	437.7820299
228	436.4336943
229	435.1175118
230	433.3765324
231	432.8077281
232	431.5296945
233	430.7889184
234	429.1356858
235	427.5971613
236	427.1059907
237	426.5443456
238	426.0798955
239	425.0885489
240	424.1206925
241	422.8381359
242	422.41183
243	422.0050984
244	421.8118195
245	419.9811642
246	418.78653
247	418.5990411
248	418.2261444
249	417.389131
250	416.5903594
251	416.1645654
252	415.9898612
253	415.8195589
254	415.6529418
255	415.3161382
256	414.8917501
257	413.6806555
258	413.2695512
259	411.875903
260	410.4506697
261	410.2981128
262	410.1488922
263	409.760929
264	409.3922681
265	409.0357914
266	408.6737237
267	408.0087714
268	407.8684787
269	407.5229224
270	407.2152236
271	406.8926642
272	406.5804051
273	405.2270967
274	404.1100697
275	403.1055713
276	401.8953936
277	400.2779144
278	399.3926514
279	397.9396207
280	396.8698249
281	395.6408577
282	394.7939535
283	394.2450269
284	392.9431761
285	392.4232933
286	391.6094062
287	390.3604393
288	389.2496395
289	388.2470872
290	387.2768656
291	386.1059882
292	385.1066031
293	384.4166455
294	383.5365878
295	382.4932187
296	382.0187174
297	381.4454561
298	380.9101682
299	380.4859088
300	379.5984616
301	378.5497268
302	377.4659521
303	376.8087286
304	376.0012998
305	375.5953594
306	374.8007312
307	374.4127387
308	374.0318167
309	373.3356702
310	372.8230717
311	372.1182818
312	371.5351883
313	371.0532799
314	370.4002847
315	370.047683
316	369.6967078
317	369.5195099
318	368.5728506
319	368.2516134
320	367.8485868
321	367.4441737
322	367.2842819
323	367.0044942
324	366.2098368
325	365.9052597
326	365.59942
327	364.9402898
328	364.7719551
329	364.6054292
330	363.8115072
331	363.5197848
332	362.6806927
333	362.4023001
334	362.246439
335	361.4887229
336	361.1393485
337	360.9888505
338	360.5021698
339	360.2371097
340	359.5653621
341	359.4187929
342	357.9512779
343	357.8085818
344	357.6690732
345	356.7968389
346	356.4597074
347	356.2226201
348	356.0908482
349	355.7758785
350	355.6482161
351	355.5234573
352	355.005012
353	354.1069395
354	353.3448965
355	352.8502177
356	352.1957808
357	351.922739
358	351.1164532
359	350.2415387
360	350.1266223
361	349.7873051
362	349.6768258
363	349.4455317
364	349.1898892
365	348.875668
366	348.4254136
367	348.1563332
368	347.9305635
369	347.2117986
370	347.0281103
371	346.305653
372	346.1094474
373	345.9058219
374	345.6780635
375	344.8292495
376	344.5575525
377	344.2985493
378	343.6324123
379	342.991065
380	342.7952415
381	342.1340017
382	341.4924483
383	340.8699169
384	340.2568466
385	338.8547353
386	338.2632694
387	338.0369414
388	337.8073828
389	337.2319814
390	336.7417753
391	336.1742296
392	335.6261701
393	335.0942195
394	334.6716915
395	334.0047094
396	333.4979881
397	333.1033111
398	332.9061021
399	332.3935977
400	331.7698498
401	331.2709547
402	330.9493808
403	330.4696146
404	330.1342421
405	329.9554163
406	329.7848356
407	329.1553994
408	328.4280542
409	327.7231706
410	327.2667936
411	326.820807
412	326.6530247
413	326.0072531
414	325.8462916
415	325.5202029
416	324.8218863
417	324.6733745
418	323.9769719
419	323.8771494
420	323.7383187
421	323.4627599
422	322.2997222
423	321.6585646
424	321.5668879
425	320.8640743
426	320.4627482
427	319.8218875
428	318.8491415
429	318.7126112
430	318.4332781
431	317.8720177
432	317.4756239
433	317.3516367
434	316.862009
435	316.4852566
436	316.0926229
437	315.7198589
438	315.6018186
439	315.1866816
440	314.9508498
441	314.8412024
442	314.2674968
443	313.8993788
444	313.6009034
445	313.2475289
446	312.8441798
447	312.4663688
448	312.3613618
449	312.2563288
450	312.0104733
451	311.6716328
452	311.1784044
453	311.0533155
454	310.7226157
455	310.4008501
456	310.0885486
457	309.7047042
458	309.5043811
459	309.1990457
460	308.7484074
461	308.6305092
462	308.3330784
463	308.0439992
464	307.6782415
465	307.3966164
466	307.1216563
467	307.0005564
468	306.6482994
469	306.3806421
470	305.7695895
471	305.5081092
472	305.2526747
473	305.0143251
474	304.6775081
475	304.4347739
476	304.1982332
477	303.5945915
478	303.1546489
479	303.0490306
480	302.8172669
481	302.2338659
482	301.9116893
483	301.3815466
484	301.1448575
485	300.9142563
486	300.8328229
487	300.6196415
488	300.3680381
489	300.0897301
490	300.0146389
491	299.8026322
492	299.1583388
493	298.6361494
494	298.4296662
495	298.2287948
496	297.9984363
497	297.7316098
498	297.5226972
499	297.2985583
500	297.1149655
501	296.8570485
502	296.7851722
503	296.5716734
504	296.3646238
505	296.2727981
506	295.9706813
507	295.8781635
508	295.8631616
509	295.6907548
510	295.5332406
511	295.2890502
512	294.8540342
513	294.6186769
514	294.39045
515	294.1707486
516	293.9635959
517	293.6009557
518	293.4034746
519	293.0148043
520	292.7425859
521	292.6582925
522	292.4746425
523	292.2111993
524	291.7198106
525	291.642485
526	291.4849067
527	291.052062
528	290.9705156
529	290.8181889
530	290.6678849
531	290.4569367
532	289.9007838
533	289.4765336
534	289.211146
535	289.0091175
536	288.6701116
537	288.3285167
538	287.8576151
539	287.7951879
540	287.3591892
541	287.2955052
542	287.1568464
543	286.6050765
544	286.2634057
545	285.9216233
546	285.6620852
547	285.4844753
548	285.2096101
549	285.1508067
550	284.9695085
551	284.8117912
552	284.4556003
553	283.9099294
554	283.8477736
555	283.6397934
556	283.1102388
557	282.7963555
558	282.640195
559	282.1300423
560	281.9685295
561	281.4786659
562	281.4056551
563	281.2226987
564	280.8851284
565	280.8262533
566	280.67346
567	280.2193346
568	280.0062273
569	279.5735118
570	279.4465948
571	279.1045834
572	278.6809908
573	278.5088935
574	278.4520244
575	278.3066521
576	278.0798299
577	278.0261696
578	277.9577367
579	277.9510785
580	277.5237896
581	277.3666642
582	277.0710312
583	276.8059178
584	276.7428383
585	276.3707925
586	275.9971978
587	275.8539526
588	275.7147432
589	275.3569186
590	275.2957675
591	275.2492718
592	274.9349842
593	274.8694692
594	274.4317162
595	274.3817426
596	274.0235409
597	273.7119811
598	273.374822
599	273.1130176
600	272.9606123
601	272.640524
602	272.632621
603	272.5027515
604	272.4551392
605	272.2016731
606	271.8536241
607	271.8121777
608	271.4960803
609	271.3673829
610	271.2802328
611	270.8995729
612	270.7579387
613	270.6158269
614	270.2070952
615	269.9894568
616	269.9049501
617	269.8240575
618	269.702763
619	269.6252499
620	269.3269993
621	269.0924019
622	269.041679
623	268.7723971
624	268.4862202
625	268.2074617
626	267.9573773
627	267.70375
628	267.4856777
629	267.2396432
630	266.7217736
631	266.5809783
632	266.2669655
633	265.9364556
634	265.6566071
635	265.6204102
636	265.6137964
637	265.5520974
638	265.3798707
639	265.0539567
640	264.9248286
641	264.8877343
642	264.6987447
643	264.3786007
644	264.1805567
645	264.0366505
646	263.7972004
647	263.4831606
648	263.2374857
649	263.0509471
650	262.8205053
651	262.5794692
652	262.3158085
653	261.9525085
654	261.8869093
655	261.6628755
656	261.4527342
657	261.1799147
658	261.0504149
659	260.9517159
660	260.6888955
661	260.6289879
662	260.169191
663	260.1141404
664	259.7798381
665	259.7009089
666	259.3995014
667	259.2356879
668	259.1171933
669	258.9812551
670	258.822174
671	258.6679593
672	258.2360273
673	258.1108182
674	257.8010026
675	257.7692284
676	257.6031546
677	257.3447653
678	257.2378695
679	257.0744854
680	256.9319313
681	256.8774875
682	256.4991824
683	256.4264825
684	256.1055005
685	255.7446934
686	255.4020108
687	255.0357438
688	254.879545
689	254.8194546
690	254.5674933
691	254.4170438
692	254.2340265
693	254.0095746
694	253.8641934
695	253.6909532
696	253.5107613
697	253.2892294
698	253.0512427
699	252.9139284
700	252.8096858
701	252.6543306
702	252.2981484
703	252.0987455
704	251.8720022
705	251.8070919
706	251.6755611
707	251.6120986
708	251.5078443
709	251.2909487
710	251.1624393
711	251.049462
712	250.9239497
713	250.74011
714	250.699738
715	250.6381862
716	250.5851618
717	250.3274683
718	250.0576694
719	249.9830637
720	249.696596
721	249.621479
722	249.4815561
723	249.4328418
724	249.328934
725	249.2322154
726	249.0014257
727	248.6790891
728	248.5911699
729	248.4993849
730	248.2881354
731	248.0858594
732	248.0088352
733	247.998343
734	247.9318749
735	247.6562774
736	247.3633245
737	247.3142021
738	247.1212554
739	247.0080929
740	246.754949
741	246.6243763
742	246.3987318
743	246.2983784
744	246.1522589
745	246.0029297
746	245.738625
747	245.6747104
748	245.5794375
749	245.4794969
750	245.4420197
751	245.2594992
752	245.0329741
753	244.9199025
754	244.7277637
755	244.4976613
756	244.3222523
757	244.2531481
758	244.1608023
759	244.0928417
760	243.913855
761	243.7734438
762	243.6792621
763	243.5183485
764	243.4168109
765	243.3827659
766	243.3085222
767	243.153224
768	242.8593186
769	242.8075628
770	242.641166
771	242.4917826
772	242.3324779
773	242.2821238
774	242.195867
775	242.0645472
776	241.9188081
777	241.8135946
778	241.7822285
779	241.6196119
780	241.4946258
781	241.3515071
782	241.1179595
783	240.9721635
784	240.690999
785	240.5388779
786	240.2270455
787	240.1037661
788	240.0161935
789	239.8699637
790	239.5752939
791	239.4262363
792	239.1928848
793	238.9569238
794	238.8892378
795	238.7922533
796	238.745812
797	238.672322
798	238.5532087
799	238.500671
800	238.2864145
801	238.1422422
802	238.1079034
803	238.0229632
804	237.8387389
805	237.685658
806	237.5460215
807	237.4500668
808	237.1902602
809	237.0557627
810	236.878381
811	236.7875431
812	236.6564559
813	236.6061247
814	236.3805449
815	236.1925111
816	236.0757144
817	235.8276346
818	235.7932477
819	235.7323656
820	235.6599055
821	235.6039584
822	235.4683269
823	235.3428717
824	235.2053054
825	235.1264779
826	234.9999864
827	234.9697956
828	234.8587062
829	234.7432121
830	234.6529165
831	234.5626582
832	234.3955453
833	234.2824855
834	234.2143831
835	234.1445673
836	234.0144803
837	233.8404601
838	233.6993833
839	233.5883297
840	233.4984344
841	233.3769334
842	233.340083
843	233.2320828
844	233.1834535
845	233.1269574
846	233.0610411
847	232.8724654
848	232.8434253
849	232.6588324
850	232.585312
851	232.4619833
852	232.3000378
853	232.2269715
854	232.0091693
855	231.9456707
856	231.8761564
857	231.7582674
858	231.7230165
859	231.6828089
860	231.633303
861	231.5718181
862	231.4593294
863	231.2807142
864	231.2548707
865	231.1606576
866	231.0304812
867	230.9640577
868	230.8999372
869	230.8368719
870	230.6722657
871	230.5181059
872	230.4792841
873	230.4517197
874	230.3900843
875	230.2801911
876	230.1612605
877	230.0845318
878	229.9385828
879	229.8080084
880	229.673828
881	229.6275363
882	229.4720352
883	229.3318389
884	229.1228253
885	228.8773005
886	228.8191725
887	228.6976006
888	228.6029045
889	228.4663678
890	228.3403161
891	228.2978722
892	228.162336
893	227.9960908
894	227.9205748
895	227.7882782
896	227.7293038
897	227.5764459
898	227.3113361
899	227.1743711
900	227.0452322
901	226.9282358
902	226.8213187
903	226.7355916
904	226.6127819
905	226.5033409
906	226.3894071
907	226.2921233
908	226.1558098
909	226.0892171
910	225.9659933
911	225.8856286
912	225.7797716
913	225.6636751
914	225.5009541
915	225.4102227
916	225.3343689
917	225.2587804
918	225.1580538
919	225.0413811
920	225.0051371
921	224.8708893
922	224.753469
923	224.5234177
924	224.3629702
925	224.1482161
926	224.0475547
927	223.9126784
928	223.7337887
