iter	Passed	Remaining
0	0	777
1	1	682
2	1	644
3	2	622
4	3	612
5	3	633
6	4	621
7	4	614
8	5	611
9	6	607
10	6	604
11	7	600
12	7	600
13	8	597
14	9	594
15	9	592
16	10	591
17	10	590
18	11	589
19	11	586
20	12	584
21	13	582
22	13	581
23	14	580
24	14	578
25	15	578
26	16	576
27	16	575
28	17	574
29	17	573
30	18	572
31	18	571
32	19	571
33	20	571
34	20	571
35	21	569
36	21	569
37	22	569
38	23	568
39	23	567
40	24	567
41	24	566
42	25	565
43	26	564
44	26	564
45	27	563
46	27	562
47	28	561
48	28	560
49	29	560
50	30	559
51	30	559
52	31	558
53	31	557
54	32	556
55	32	556
56	33	555
57	34	554
58	34	554
59	35	553
60	35	552
61	36	552
62	37	551
63	37	550
64	38	550
65	38	549
66	39	548
67	39	548
68	40	547
69	41	546
70	41	546
71	42	545
72	42	545
73	43	544
74	44	543
75	44	543
76	45	542
77	45	542
78	46	541
79	47	542
80	47	541
81	48	541
82	48	540
83	49	540
84	50	539
85	50	538
86	51	537
87	51	537
88	52	536
89	53	536
90	53	535
91	54	534
92	54	533
93	55	532
94	55	532
95	56	531
96	57	531
97	57	530
98	58	529
99	58	529
100	59	528
101	59	527
102	60	526
103	61	528
104	61	528
105	62	527
106	63	526
107	63	526
108	64	525
109	64	524
110	65	524
111	66	524
112	66	523
113	67	522
114	67	522
115	68	522
116	69	521
117	69	521
118	70	520
119	70	519
120	71	519
121	72	518
122	72	517
123	73	517
124	73	516
125	74	515
126	74	515
127	75	514
128	76	513
129	76	513
130	77	512
131	77	511
132	78	511
133	79	510
134	79	510
135	80	509
136	80	508
137	81	508
138	81	507
139	82	506
140	83	506
141	83	505
142	84	504
143	84	503
144	85	503
145	85	502
146	86	501
147	87	501
148	87	500
149	88	500
150	88	499
151	89	499
152	90	503
153	91	502
154	92	503
155	92	502
156	93	502
157	94	501
158	94	502
159	95	501
160	96	500
161	96	500
162	97	499
163	97	498
164	98	498
165	98	497
166	99	496
167	100	495
168	100	494
169	101	493
170	101	493
171	102	492
172	102	490
173	103	489
174	103	488
175	104	487
176	104	487
177	105	486
178	105	485
179	106	484
180	107	484
181	107	483
182	108	482
183	108	482
184	109	481
185	109	480
186	110	479
187	110	478
188	111	478
189	111	477
190	112	476
191	113	476
192	113	475
193	114	474
194	114	473
195	115	473
196	115	472
197	116	471
198	117	471
199	117	470
200	117	469
201	118	468
202	119	467
203	119	467
204	120	466
205	121	467
206	121	466
207	122	467
208	123	466
209	124	467
210	124	466
211	125	466
212	126	466
213	126	465
214	127	464
215	127	464
216	128	463
217	129	462
218	129	462
219	130	461
220	130	461
221	131	460
222	131	459
223	132	459
224	133	458
225	133	457
226	134	457
227	134	456
228	135	455
229	136	455
230	136	454
231	137	454
232	137	453
233	138	452
234	138	452
235	139	451
236	140	450
237	140	451
238	141	450
239	142	449
240	142	449
241	143	448
242	143	447
243	144	446
244	144	446
245	145	446
246	146	445
247	146	444
248	147	443
249	147	442
250	148	442
251	148	441
252	149	440
253	149	439
254	150	439
255	150	438
256	151	437
257	152	437
258	152	436
259	153	436
260	153	435
261	154	434
262	154	434
263	155	433
264	156	432
265	156	432
266	157	431
267	157	431
268	158	430
269	158	429
270	159	428
271	159	428
272	160	427
273	161	426
274	161	426
275	162	425
276	162	425
277	163	424
278	164	423
279	164	423
280	165	422
281	165	422
282	166	421
283	166	421
284	167	420
285	168	419
286	168	419
287	169	418
288	169	417
289	170	417
290	171	416
291	171	416
292	172	415
293	173	415
294	173	415
295	174	414
296	174	413
297	175	413
298	176	412
299	176	412
300	177	411
301	177	411
302	178	410
303	179	409
304	179	409
305	180	408
306	180	408
307	181	407
308	182	407
309	182	406
310	183	406
311	183	405
312	184	405
313	185	405
314	186	404
315	186	404
316	187	403
317	188	403
318	188	402
319	189	402
320	189	401
321	190	401
322	191	400
323	191	399
324	192	399
325	192	398
326	193	398
327	194	397
328	194	396
329	195	396
330	195	395
331	196	394
332	196	394
333	197	393
334	198	393
335	198	392
336	199	391
337	199	391
338	200	390
339	200	389
340	201	389
341	202	388
342	202	388
343	203	387
344	203	387
345	204	386
346	205	386
347	206	386
348	206	385
349	207	385
350	208	384
351	208	384
352	209	384
353	210	383
354	210	382
355	211	382
356	211	381
357	212	381
358	213	380
359	213	379
360	214	379
361	214	378
362	215	377
363	215	377
364	216	376
365	217	376
366	217	375
367	218	374
368	218	374
369	219	373
370	219	372
371	220	372
372	221	371
373	221	371
374	222	370
375	222	369
376	223	369
377	224	368
378	224	368
379	225	367
380	225	366
381	226	366
382	226	365
383	227	364
